"uf";"nome_municipio";"cod_tse";"cod_ibge";"numero_candidato";"votos_abs";"votos_perc"
"SP";"ADAMANTINA";"61018";"3500105";"10";"11940";"66,00"
"SP";"ADAMANTINA";"61018";"3500105";"30";"149";"0,82"
"SP";"ADAMANTINA";"61018";"3500105";"12";"104";"0,57"
"SP";"ADAMANTINA";"61018";"3500105";"27";"5";"0,03"
"SP";"ADAMANTINA";"61018";"3500105";"13";"3337";"18,45"
"SP";"ADAMANTINA";"61018";"3500105";"80";"25";"0,14"
"SP";"ADAMANTINA";"61018";"3500105";"45";"2496";"13,80"
"SP";"ADAMANTINA";"61018";"3500105";"29";"5";"0,03"
"SP";"ADAMANTINA";"61018";"3500105";"16";"7";"0,04"
"SP";"ADAMANTINA";"61018";"3500105";"21";"23";"0,13"
"SP";"ADOLFO";"61034";"3500204";"10";"1353";"46,82"
"SP";"ADOLFO";"61034";"3500204";"30";"5";"0,17"
"SP";"ADOLFO";"61034";"3500204";"12";"12";"0,42"
"SP";"ADOLFO";"61034";"3500204";"27";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"13";"561";"19,41"
"SP";"ADOLFO";"61034";"3500204";"80";"2";"0,07"
"SP";"ADOLFO";"61034";"3500204";"45";"956";"33,08"
"SP";"ADOLFO";"61034";"3500204";"29";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"16";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"21";"1";"0,03"
"SP";"AGUAÍ";"61050";"3500303";"10";"6903";"45,61"
"SP";"AGUAÍ";"61050";"3500303";"30";"102";"0,67"
"SP";"AGUAÍ";"61050";"3500303";"12";"94";"0,62"
"SP";"AGUAÍ";"61050";"3500303";"27";"2";"0,01"
"SP";"AGUAÍ";"61050";"3500303";"13";"4396";"29,05"
"SP";"AGUAÍ";"61050";"3500303";"80";"25";"0,17"
"SP";"AGUAÍ";"61050";"3500303";"45";"3572";"23,60"
"SP";"AGUAÍ";"61050";"3500303";"29";"2";"0,01"
"SP";"AGUAÍ";"61050";"3500303";"16";"7";"0,05"
"SP";"AGUAÍ";"61050";"3500303";"21";"32";"0,21"
"SP";"AGUDOS";"61131";"3500709";"10";"9896";"49,00"
"SP";"AGUDOS";"61131";"3500709";"30";"219";"1,08"
"SP";"AGUDOS";"61131";"3500709";"12";"122";"0,60"
"SP";"AGUDOS";"61131";"3500709";"27";"4";"0,02"
"SP";"AGUDOS";"61131";"3500709";"13";"4377";"21,67"
"SP";"AGUDOS";"61131";"3500709";"80";"38";"0,19"
"SP";"AGUDOS";"61131";"3500709";"45";"5508";"27,28"
"SP";"AGUDOS";"61131";"3500709";"29";"0";"00,00"
"SP";"AGUDOS";"61131";"3500709";"16";"5";"0,02"
"SP";"AGUDOS";"61131";"3500709";"21";"25";"0,12"
"SP";"ALAMBARI";"61581";"3500758";"10";"1538";"43,56"
"SP";"ALAMBARI";"61581";"3500758";"30";"10";"0,28"
"SP";"ALAMBARI";"61581";"3500758";"12";"13";"0,37"
"SP";"ALAMBARI";"61581";"3500758";"27";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"13";"810";"22,94"
"SP";"ALAMBARI";"61581";"3500758";"80";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"45";"1158";"32,80"
"SP";"ALAMBARI";"61581";"3500758";"29";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"16";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"21";"2";"0,06"
