"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"ADAMANTINA";"61018";"3500105";"6993";"25,30";"1265";"6,13";"1286";"6,23"
"SP";"ADOLFO";"61034";"3500204";"1069";"24,87";"193";"5,98";"146";"4,52"
"SP";"AGUAÍ";"61050";"3500303";"5861";"24,35";"1572";"8,63";"1500";"8,24"
"SP";"AGUDOS";"61131";"3500709";"7180";"23,55";"1761";"7,55";"1359";"5,83"
"SP";"ALAMBARI";"61581";"3500758";"976";"19,80";"246";"6,22";"176";"4,46"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"887";"21,92";"152";"4,81";"99";"3,13"
"SP";"ALTAIR";"61174";"3500907";"775";"24,26";"137";"5,66";"113";"4,67"
"SP";"ALTINÓPOLIS";"61190";"3501004";"2497";"20,17";"735";"7,44";"740";"7,48"
"SP";"ALTO ALEGRE";"61212";"3501103";"852";"23,39";"215";"7,71";"123";"4,40"
"SP";"ALUMÍNIO";"61220";"3501152";"3046";"20,99";"829";"7,23";"807";"7,04"
"SP";"ALVINLÂNDIA";"61298";"3501509";"646";"23,78";"96";"4,64";"118";"5,69"
"SP";"AMERICANA";"61310";"3501608";"36002";"19,97";"9967";"6,91";"8173";"5,66"
"SP";"AMPARO";"61379";"3501905";"13571";"23,65";"3968";"9,06";"3143";"7,17"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"6027";"21,09";"2055";"9,11";"1700";"7,54"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"909";"18,41";"260";"6,45";"180";"4,47"
"SP";"ANALÂNDIA";"61395";"3502002";"1308";"28,82";"241";"7,46";"196";"6,07"
"SP";"ANDRADINA";"61417";"3502101";"10947";"24,04";"2320";"6,71";"2621";"7,58"
"SP";"ANGATUBA";"61433";"3502200";"4575";"24,90";"958";"6,94";"839";"6,09"
"SP";"ANHEMBI";"61450";"3502309";"1872";"31,70";"258";"6,40";"236";"5,85"
"SP";"ANHUMAS";"61476";"3502408";"739";"21,75";"121";"4,55";"74";"2,78"
"SP";"APARECIDA";"61492";"3502507";"5791";"20,29";"1281";"5,63";"1345";"5,91"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"970";"24,26";"163";"5,38";"122";"4,03"
"SP";"APIAÍ";"61530";"3502705";"5810";"28,39";"1106";"7,55";"1012";"6,90"
"SP";"ARAMINA";"61590";"3503000";"1096";"23,78";"240";"6,83";"233";"6,64"
"SP";"ARANDU";"61611";"3503109";"1357";"23,36";"339";"7,61";"389";"8,74"
"SP";"ARAPEÍ";"61646";"3503158";"605";"24,41";"121";"6,46";"60";"3,20"
"SP";"ARARAQUARA";"61638";"3503208";"43634";"24,09";"11821";"8,60";"8444";"6,14"
"SP";"ARARAS";"61654";"3503307";"21318";"21,02";"6706";"8,37";"5760";"7,19"
"SP";"ARAÇARIGUAMA";"61263";"3502754";"4137";"23,99";"961";"7,33";"975";"7,44"
"SP";"ARAÇATUBA";"61557";"3502804";"35015";"22,80";"6695";"5,65";"5461";"4,60"
"SP";"ARAÇOIABA DA SERRA";"61573";"3502903";"4765";"19,24";"1466";"7,33";"1282";"6,41"
"SP";"ARCO-ÍRIS";"62065";"3503356";"523";"23,25";"75";"4,35";"49";"2,83"
"SP";"AREALVA";"61670";"3503406";"1454";"22,79";"400";"8,12";"310";"6,29"
"SP";"AREIAS";"61697";"3503505";"584";"17,93";"135";"5,05";"85";"3,18"
"SP";"AREIÓPOLIS";"61719";"3503604";"1801";"21,05";"538";"7,96";"603";"8,93"
"SP";"ARIRANHA";"61735";"3503703";"1541";"22,14";"433";"7,99";"349";"6,44"
"SP";"ARTUR NOGUEIRA";"61751";"3503802";"7211";"18,77";"2313";"7,41";"1982";"6,36"
