"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"ADAMANTINA";"61018";"3500105";"6993";"25,30";"514";"2,49";"465";"2,25"
"SP";"ADOLFO";"61034";"3500204";"1069";"24,87";"80";"2,48";"65";"2,01"
"SP";"AGUAÍ";"61050";"3500303";"5861";"24,35";"681";"3,74";"490";"2,69"
"SP";"AGUDOS";"61131";"3500709";"7180";"23,55";"874";"3,75";"539";"2,31"
"SP";"ALAMBARI";"61581";"3500758";"976";"19,80";"104";"2,63";"78";"1,97"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"887";"21,92";"64";"2,03";"41";"1,29"
"SP";"ALTAIR";"61174";"3500907";"775";"24,26";"66";"2,73";"38";"1,57"
"SP";"ALTINÓPOLIS";"61190";"3501004";"2497";"20,17";"334";"3,38";"250";"2,53"
"SP";"ALTO ALEGRE";"61212";"3501103";"852";"23,39";"65";"2,33";"36";"1,29"
"SP";"ALUMÍNIO";"61220";"3501152";"3046";"20,99";"332";"2,90";"251";"2,19"
"SP";"ALVINLÂNDIA";"61298";"3501509";"646";"23,78";"47";"2,27";"47";"2,27"
"SP";"AMERICANA";"61310";"3501608";"36017";"19,96";"4547";"3,15";"2680";"1,85"
"SP";"AMPARO";"61379";"3501905";"13571";"23,65";"1720";"3,93";"1096";"2,50"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"6027";"21,09";"924";"4,10";"473";"2,10"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"909";"18,41";"104";"2,58";"69";"1,71"
"SP";"ANALÂNDIA";"61395";"3502002";"1308";"28,81";"93";"2,88";"63";"1,95"
"SP";"ANDRADINA";"61417";"3502101";"10947";"24,04";"950";"2,75";"724";"2,09"
"SP";"ANGATUBA";"61433";"3502200";"4575";"24,90";"541";"3,92";"381";"2,76"
"SP";"ANHEMBI";"61450";"3502309";"1872";"31,70";"113";"2,80";"81";"2,01"
"SP";"ANHUMAS";"61476";"3502408";"739";"21,75";"60";"2,26";"36";"1,35"
"SP";"APARECIDA";"61492";"3502507";"5791";"20,29";"438";"1,93";"383";"1,68"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"970";"24,26";"76";"2,51";"44";"1,45"
"SP";"APIAÍ";"61530";"3502705";"5810";"28,39";"502";"3,43";"381";"2,59"
"SP";"ARAMINA";"61590";"3503000";"1096";"23,78";"87";"2,48";"52";"1,48"
"SP";"ARANDU";"61611";"3503109";"1357";"23,36";"132";"2,96";"105";"2,36"
"SP";"ARAPEÍ";"61646";"3503158";"605";"24,41";"68";"3,63";"27";"1,44"
"SP";"ARARAQUARA";"61638";"3503208";"43661";"24,06";"5204";"3,78";"2656";"1,92"
"SP";"ARARAS";"61654";"3503307";"21335";"21,00";"3004";"3,74";"2020";"2,52"
"SP";"ARAÇARIGUAMA";"61263";"3502754";"4137";"23,99";"354";"2,70";"232";"1,77"
"SP";"ARAÇATUBA";"61557";"3502804";"35052";"22,78";"2936";"2,47";"1836";"1,55"
"SP";"ARAÇOIABA DA SERRA";"61573";"3502903";"4765";"19,24";"650";"3,25";"536";"2,68"
"SP";"ARCO-ÍRIS";"62065";"3503356";"523";"23,25";"23";"1,33";"28";"1,62"
"SP";"AREALVA";"61670";"3503406";"1454";"22,79";"141";"2,86";"94";"1,91"
"SP";"AREIAS";"61697";"3503505";"584";"17,93";"57";"2,13";"49";"1,84"
"SP";"AREIÓPOLIS";"61719";"3503604";"1801";"21,05";"211";"3,12";"216";"3,20"
"SP";"ARIRANHA";"61735";"3503703";"1541";"22,14";"173";"3,19";"111";"2,05"
"SP";"ARTUR NOGUEIRA";"61751";"3503802";"7211";"18,77";"1053";"3,38";"728";"2,33"
"SP";"ARUJÁ";"61778";"3503901";"14199";"19,99";"2025";"3,56";"1188";"2,09"
"SP";"ASPÁSIA";"61522";"3503950";"398";"21,01";"27";"1,80";"18";"1,21"
"SP";"ASSIS";"61794";"3504008";"18108";"24,51";"1352";"2,42";"1018";"1,83"
"SP";"ATIBAIA";"61816";"3504107";"26959";"22,44";"3293";"3,53";"2162";"2,32"
"SP";"AURIFLAMA";"61832";"3504206";"2133";"19,49";"188";"2,13";"130";"1,48"
"SP";"AVANHANDAVA";"61875";"3504404";"1858";"23,50";"174";"2,88";"136";"2,25"
"SP";"AVARÉ";"61891";"3504503";"17616";"25,66";"1882";"3,69";"1393";"2,73"
"SP";"AVAÍ";"61859";"3504305";"1003";"24,22";"71";"2,26";"34";"1,09"
"SP";"BADY BASSITT";"61913";"3504602";"2950";"20,59";"351";"3,09";"155";"1,36"
"SP";"BALBINOS";"61930";"3504701";"399";"26,04";"36";"3,18";"11";"0,97"
"SP";"BANANAL";"61972";"3504909";"2105";"23,99";"230";"3,45";"95";"1,42"
"SP";"BARBOSA";"61999";"3505104";"1239";"23,56";"119";"2,96";"58";"1,44"
"SP";"BARIRI";"62030";"3505203";"6398";"25,37";"650";"3,45";"529";"2,81"
"SP";"BARRA BONITA";"62057";"3505302";"6616";"21,98";"799";"3,40";"559";"2,38"
"SP";"BARRA DO CHAPÉU";"61360";"3505351";"1159";"24,16";"119";"3,27";"107";"2,94"
"SP";"BARRA DO TURVO";"62073";"3505401";"2650";"36,64";"127";"2,77";"66";"1,44"
"SP";"BARRETOS";"62090";"3505500";"24742";"27,22";"1873";"2,83";"1354";"2,05"
"SP";"BARRINHA";"62111";"3505609";"5010";"20,42";"588";"3,01";"496";"2,54"
"SP";"BARUERI";"62138";"3505708";"54363";"19,44";"6759";"3,00";"4369";"1,94"
"SP";"BARÃO DE ANTONINA";"62014";"3505005";"688";"24,69";"72";"3,43";"49";"2,34"
"SP";"BASTOS";"62154";"3505807";"4437";"24,54";"284";"2,08";"336";"2,46"
"SP";"BATATAIS";"62170";"3505906";"10607";"23,58";"1106";"3,22";"899";"2,61"
"SP";"BAURU";"62197";"3506003";"63963";"22,79";"7240";"3,34";"4834";"2,23"
"SP";"BEBEDOURO";"62219";"3506102";"15052";"25,10";"1216";"2,71";"1126";"2,50"
"SP";"BENTO DE ABREU";"62235";"3506201";"464";"21,48";"39";"2,30";"25";"1,47"
"SP";"BERNARDINO DE CAMPOS";"62251";"3506300";"2061";"24,39";"188";"2,94";"134";"2,10"
"SP";"BERTIOGA";"61280";"3506359";"12092";"25,10";"839";"2,32";"529";"1,47"
"SP";"BILAC";"62278";"3506409";"1435";"22,40";"134";"2,70";"70";"1,40"
"SP";"BIRIGUI";"62294";"3506508";"19881";"22,29";"2668";"3,85";"1457";"2,10"
"SP";"BIRITIBA MIRIM";"62316";"3506607";"5157";"21,52";"664";"3,53";"606";"3,22"
"SP";"BOA ESPERANÇA DO SUL";"62332";"3506706";"2341";"22,33";"272";"3,34";"182";"2,23"
"SP";"BOCAINA";"62359";"3506805";"2005";"21,97";"273";"3,83";"171";"2,40"
"SP";"BOFETE";"62375";"3506904";"2437";"28,34";"246";"3,99";"170";"2,76"
"SP";"BOITUVA";"62391";"3507001";"10925";"23,55";"1352";"3,81";"741";"2,09"
