"uf";"nome_municipio";"cod_tse";"cod_ibge";"numero_candidato";"votos_abs";"votos_perc"
"SP";"ADAMANTINA";"61018";"3500105";"13";"4697";"23,89"
"SP";"ADAMANTINA";"61018";"3500105";"16";"2";"0,01"
"SP";"ADAMANTINA";"61018";"3500105";"21";"13";"0,07"
"SP";"ADAMANTINA";"61018";"3500105";"22";"13529";"68,80"
"SP";"ADAMANTINA";"61018";"3500105";"30";"81";"0,41"
"SP";"ADAMANTINA";"61018";"3500105";"80";"3";"0,02"
"SP";"ADAMANTINA";"61018";"3500105";"15";"810";"4,12"
"SP";"ADAMANTINA";"61018";"3500105";"12";"406";"2,06"
"SP";"ADAMANTINA";"61018";"3500105";"44";"113";"0,57"
"SP";"ADAMANTINA";"61018";"3500105";"14";"9";"0,05"
"SP";"ADAMANTINA";"61018";"3500105";"27";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"12";"36";"1,17"
"SP";"ADOLFO";"61034";"3500204";"13";"1101";"35,70"
"SP";"ADOLFO";"61034";"3500204";"14";"1";"0,03"
"SP";"ADOLFO";"61034";"3500204";"30";"17";"0,55"
"SP";"ADOLFO";"61034";"3500204";"21";"2";"0,06"
"SP";"ADOLFO";"61034";"3500204";"44";"5";"0,16"
"SP";"ADOLFO";"61034";"3500204";"22";"1822";"59,08"
"SP";"ADOLFO";"61034";"3500204";"15";"100";"3,24"
"SP";"ADOLFO";"61034";"3500204";"16";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"27";"0";"00,00"
"SP";"ADOLFO";"61034";"3500204";"80";"0";"00,00"
"SP";"AGUAÍ";"61050";"3500303";"44";"159";"0,93"
"SP";"AGUAÍ";"61050";"3500303";"27";"2";"0,01"
"SP";"AGUAÍ";"61050";"3500303";"13";"6397";"37,55"
"SP";"AGUAÍ";"61050";"3500303";"16";"4";"0,02"
"SP";"AGUAÍ";"61050";"3500303";"22";"9134";"53,62"
"SP";"AGUAÍ";"61050";"3500303";"80";"9";"0,05"
"SP";"AGUAÍ";"61050";"3500303";"15";"875";"5,14"
"SP";"AGUAÍ";"61050";"3500303";"12";"373";"2,19"
"SP";"AGUAÍ";"61050";"3500303";"21";"5";"0,03"
"SP";"AGUAÍ";"61050";"3500303";"30";"72";"0,42"
"SP";"AGUAÍ";"61050";"3500303";"14";"6";"0,04"
"SP";"AGUDOS";"61131";"3500709";"14";"11";"0,05"
"SP";"AGUDOS";"61131";"3500709";"15";"985";"4,50"
"SP";"AGUDOS";"61131";"3500709";"13";"6905";"31,53"
"SP";"AGUDOS";"61131";"3500709";"21";"9";"0,04"
"SP";"AGUDOS";"61131";"3500709";"16";"4";"0,02"
"SP";"AGUDOS";"61131";"3500709";"22";"13235";"60,43"
"SP";"AGUDOS";"61131";"3500709";"30";"117";"0,53"
"SP";"AGUDOS";"61131";"3500709";"80";"6";"0,03"
"SP";"AGUDOS";"61131";"3500709";"12";"535";"2,44"
"SP";"AGUDOS";"61131";"3500709";"44";"94";"0,43"
"SP";"AGUDOS";"61131";"3500709";"27";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"15";"175";"4,64"
"SP";"ALAMBARI";"61581";"3500758";"44";"21";"0,56"
"SP";"ALAMBARI";"61581";"3500758";"12";"61";"1,62"
"SP";"ALAMBARI";"61581";"3500758";"22";"2282";"60,51"
"SP";"ALAMBARI";"61581";"3500758";"30";"5";"0,13"
"SP";"ALAMBARI";"61581";"3500758";"13";"1225";"32,48"
"SP";"ALAMBARI";"61581";"3500758";"14";"2";"0,05"
"SP";"ALAMBARI";"61581";"3500758";"21";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"16";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"80";"0";"00,00"
"SP";"ALAMBARI";"61581";"3500758";"27";"0";"00,00"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"22";"1752";"57,35"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"13";"1159";"37,94"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"15";"96";"3,14"
"SP";"ALFREDO MARCONDES";"61158";"3500808";"44";"6";"0,20"
