"uf";"nome_municipio";"cod_tse";"cod_ibge";"numero_candidato";"votos_abs";"votos_perc"
"AC";"ACRELÂNDIA";"01120";"1200013";"12";"117";"1,64"
"AC";"ACRELÂNDIA";"01120";"1200013";"13";"1516";"21,30"
"AC";"ACRELÂNDIA";"01120";"1200013";"14";"6";"0,08"
"AC";"ACRELÂNDIA";"01120";"1200013";"15";"192";"2,70"
"AC";"ACRELÂNDIA";"01120";"1200013";"16";"1";"0,01"
"AC";"ACRELÂNDIA";"01120";"1200013";"80";"0";"00,00"
"AC";"ACRELÂNDIA";"01120";"1200013";"22";"5238";"73,59"
"AC";"ACRELÂNDIA";"01120";"1200013";"27";"0";"00,00"
"AC";"ACRELÂNDIA";"01120";"1200013";"30";"11";"0,15"
"AC";"ACRELÂNDIA";"01120";"1200013";"44";"37";"0,52"
"AC";"ACRELÂNDIA";"01120";"1200013";"21";"0";"00,00"
"AC";"ASSIS BRASIL";"01570";"1200054";"12";"44";"0,90"
"AC";"ASSIS BRASIL";"01570";"1200054";"13";"2003";"41,12"
"AC";"ASSIS BRASIL";"01570";"1200054";"14";"2";"0,04"
"AC";"ASSIS BRASIL";"01570";"1200054";"15";"109";"2,24"
"AC";"ASSIS BRASIL";"01570";"1200054";"16";"5";"0,10"
"AC";"ASSIS BRASIL";"01570";"1200054";"80";"0";"00,00"
"AC";"ASSIS BRASIL";"01570";"1200054";"22";"2694";"55,31"
"AC";"ASSIS BRASIL";"01570";"1200054";"27";"0";"00,00"
"AC";"ASSIS BRASIL";"01570";"1200054";"30";"2";"0,04"
"AC";"ASSIS BRASIL";"01570";"1200054";"44";"11";"0,23"
"AC";"ASSIS BRASIL";"01570";"1200054";"21";"1";"0,02"
"AC";"BRASILÉIA";"01058";"1200104";"12";"249";"1,76"
"AC";"BRASILÉIA";"01058";"1200104";"13";"4171";"29,50"
"AC";"BRASILÉIA";"01058";"1200104";"14";"4";"0,03"
"AC";"BRASILÉIA";"01058";"1200104";"15";"496";"3,51"
"AC";"BRASILÉIA";"01058";"1200104";"16";"2";"0,01"
"AC";"BRASILÉIA";"01058";"1200104";"80";"1";"0,01"
"AC";"BRASILÉIA";"01058";"1200104";"22";"9143";"64,67"
"AC";"BRASILÉIA";"01058";"1200104";"27";"3";"0,02"
"AC";"BRASILÉIA";"01058";"1200104";"30";"12";"0,08"
"AC";"BRASILÉIA";"01058";"1200104";"44";"53";"0,37"
"AC";"BRASILÉIA";"01058";"1200104";"21";"4";"0,03"
"AC";"BUJARI";"01007";"1200138";"12";"197";"2,71"
"AC";"BUJARI";"01007";"1200138";"13";"2130";"29,33"
"AC";"BUJARI";"01007";"1200138";"14";"9";"0,12"
"AC";"BUJARI";"01007";"1200138";"15";"356";"4,90"
"AC";"BUJARI";"01007";"1200138";"16";"1";"0,01"
"AC";"BUJARI";"01007";"1200138";"80";"0";"00,00"
"AC";"BUJARI";"01007";"1200138";"22";"4505";"62,03"
"AC";"BUJARI";"01007";"1200138";"27";"0";"00,00"
"AC";"BUJARI";"01007";"1200138";"30";"5";"0,07"
"AC";"BUJARI";"01007";"1200138";"44";"58";"0,80"
"AC";"BUJARI";"01007";"1200138";"21";"2";"0,03"
"AC";"CAPIXABA";"01015";"1200179";"12";"120";"2,00"
"AC";"CAPIXABA";"01015";"1200179";"13";"1630";"27,12"
"AC";"CAPIXABA";"01015";"1200179";"14";"0";"00,00"
"AC";"CAPIXABA";"01015";"1200179";"15";"264";"4,39"
"AC";"CAPIXABA";"01015";"1200179";"16";"0";"00,00"
"AC";"CAPIXABA";"01015";"1200179";"80";"0";"00,00"
"AC";"CAPIXABA";"01015";"1200179";"22";"3944";"65,61"
"AC";"CAPIXABA";"01015";"1200179";"27";"0";"00,00"
"AC";"CAPIXABA";"01015";"1200179";"30";"6";"0,10"
"AC";"CAPIXABA";"01015";"1200179";"44";"46";"0,77"
"AC";"CAPIXABA";"01015";"1200179";"21";"1";"0,02"
